,conf_type,value,filename
66,FN,1.8569999999999975,Mother-1-3
67,FP,18.4279,Mother-1-3
68,TN,3.697000000000003,Mother-1-3
69,TP,4.299999999999999,Mother-1-3
70,FN,9.393999999999963,2008_Tutonchany_Uvachan_Inna_LAv2-1-8
71,FP,10.243100000000023,2008_Tutonchany_Uvachan_Inna_LAv2-1-8
72,TN,2.9280000000000324,2008_Tutonchany_Uvachan_Inna_LAv2-1-8
73,TP,30.538999999999984,2008_Tutonchany_Uvachan_Inna_LAv2-1-8
74,FN,0.13799999999999812,Larvae-1-1
75,FP,16.2802,Larvae-1-1
76,TN,4.339999999999999,Larvae-1-1
77,TP,9.242,Larvae-1-1
78,FN,9.45900000000018,2010_Bely_Yar_Ivigin_Vladimir_LR1-0-23
79,FP,2.524,2010_Bely_Yar_Ivigin_Vladimir_LR1-0-23
80,TN,2.555999999999927,2010_Bely_Yar_Ivigin_Vladimir_LR1-0-23
81,TP,24.216,2010_Bely_Yar_Ivigin_Vladimir_LR1-0-23
82,FN,2.06799999999998,2008_Tura_Lapuko_LR3-2-0
83,FP,19.227999999999994,2008_Tura_Lapuko_LR3-2-0
84,TN,31.202000000000012,2008_Tura_Lapuko_LR3-2-0
85,TP,7.05200000000001,2008_Tura_Lapuko_LR3-2-0
86,FN,1.0760000000000005,2007_Ekonda_Kombagir_Anton_LAv-1-1
87,FP,21.295000000000005,2007_Ekonda_Kombagir_Anton_LAv-1-1
88,TN,26.994,2007_Ekonda_Kombagir_Anton_LAv-1-1
89,TP,10.472999999999995,2007_Ekonda_Kombagir_Anton_LAv-1-1
90,FN,38.48560000000003,2008_Tutonchany_Uvachan_Inna_LAv3-1-6
91,FP,3.096,2008_Tutonchany_Uvachan_Inna_LAv3-1-6
92,TN,3.317999999999987,2008_Tutonchany_Uvachan_Inna_LAv3-1-6
93,TP,30.6744,2008_Tutonchany_Uvachan_Inna_LAv3-1-6
94,FN,2.088000000000001,2008_Tutonchany_Uvachan_Inna_LAv3-1-12
95,FP,34.178399999999996,2008_Tutonchany_Uvachan_Inna_LAv3-1-12
96,TN,10.082,2008_Tutonchany_Uvachan_Inna_LAv3-1-12
97,TP,13.652000000000001,2008_Tutonchany_Uvachan_Inna_LAv3-1-12
98,FN,8.32700000000007,2008_Tura_Lapuko_LR1_2-0-2
99,FP,21.17499999999999,2008_Tura_Lapuko_LR1_2-0-2
100,TN,22.266999999999946,2008_Tura_Lapuko_LR1_2-0-2
101,TP,7.812999999999995,2008_Tura_Lapuko_LR1_2-0-2
102,FN,3.146000000000008,2008_Kislokan_Udygir_Valentina_LAv_MPEG1_WAV-0-2
103,FP,14.681000000000004,2008_Kislokan_Udygir_Valentina_LAv_MPEG1_WAV-0-2
104,TN,31.847999999999992,2008_Kislokan_Udygir_Valentina_LAv_MPEG1_WAV-0-2
105,TP,4.498999999999995,2008_Kislokan_Udygir_Valentina_LAv_MPEG1_WAV-0-2
106,FN,2.3819999999999624,2011_Potapovo_Bogdanova_TamaraAndreevna_FM1-0-4
107,FP,28.4104,2011_Potapovo_Bogdanova_TamaraAndreevna_FM1-0-4
108,TN,19.452000000000027,2011_Potapovo_Bogdanova_TamaraAndreevna_FM1-0-4
109,TP,9.75600000000001,2011_Potapovo_Bogdanova_TamaraAndreevna_FM1-0-4
